縣市,縣市人數,地址,等級,公廁所在場所,公廁性質,尿布台組,數字
高雄市,2715827,高雄市小港區山明里鳳福路3號,特優級,社福機構、集會場所,無障礙廁所,0,
高雄市,2715827,高雄市小港區大苓里中山四路與大業北路口,特優級,公園,男廁所,0,
高雄市,2715827,高雄市小港區大苓里中山四路與大業北路口,特優級,公園,女廁所,0,
高雄市,2715827,高雄市鼓山區正德里鼓山三路5-1號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區良和里中山三路130號,特優級,文化育樂活動場所,男廁所,0,
高雄市,2715827,高雄市前鎮區良和里中山三路130號,特優級,文化育樂活動場所,女廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市鼓山區正德里鼓山三路5-1號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區良和里中山三路130號,特優級,文化育樂活動場所,無障礙廁所,0,
高雄市,2715827,高雄市小港區大苓里中山四路與大業北路口,特優級,公園,無障礙廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區麗興里捷興二街46號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市鼓山區麗興里捷興二街46號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,男廁所,1,
高雄市,2715827,高雄市鼓山區維生里濱海二路1號,特優級,交通,男廁所,0,
高雄市,2715827,高雄市鼓山區維生里濱海二路1號,特優級,交通,女廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區忠純里中華五路656號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市鼓山區維生里濱海二路1號,特優級,交通,無障礙廁所,0,
高雄市,2715827,高雄市鼓山區正德里鼓山三路19-3號,特優級,文化育樂活動場所,男廁所,0,
高雄市,2715827,高雄市鼓山區正德里區鼓山三路19-3號,特優級,文化育樂活動場所,女廁所,0,
高雄市,2715827,高雄市鼓山區正德里鼓山三路19-3號,特優級,文化育樂活動場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區忠純里中華五路1111號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區正德里鼓山三路19-3號,特優級,文化育樂活動場所,女廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區新民里延平街87-13號,特優級,文化育樂活動場所,男廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,男廁所,1,
